"城市","性别","出生年份","受教育水平","全年总收入","全年职业.劳动收入","政治面貌","住房面积","房屋产权","拥有房产数","身高","体重","户口","每周工作时间","家庭全年总收入","家庭房产数","婚姻状况","第一次结婚年份","父亲受教育程度","母亲受教育程度","结婚年龄","是否入党"
"北京市","男",1984,"初中","70000","70000","共青团员",40,"是",2,180,180,"农业户口",40,"100000",2,"初婚有配偶",2007,"初中","没有受过任何教育",23,0
"北京市","男",1986,"大学专科（成人高等教育）","150000","150000","群众",130,"否",0,170,140,"农业户口",40,"180000",0,"初婚有配偶",2012,"小学","小学",26,0
"北京市","男",1932,"小学","40000","0","群众",48,"否",0,170,130,"居民户口（以前是农业户口）",0,"70000",1,"初婚有配偶",1955,"没有受过任何教育","没有受过任何教育",23,0
"北京市","男",1971,"中专","1000000","1000000","群众",120,"是",3,160,120,"非农业户口",20,"1000000",3,"初婚有配偶",1995,"小学","小学",24,0
"北京市","男",1962,"初中","24000","24000","共产党员",54,"是",2,175,220,"居民户口（以前是非农业户口）",70,"40000",2,"初婚有配偶",1990,"技校","技校",28,0
"北京市","女",1932,"没有受过任何教育","40000","40000","群众",40,"否",0,160,130,"居民户口（以前是非农业户口）",0,"80000",1,"初婚有配偶",1953,"小学","没有受过任何教育",21,0
"北京市","男",1946,"大学专科（正规高等教育）","85000","0","共产党员",106,"是",1,177,150,"居民户口（以前是非农业户口）",0,"156000",1,"初婚有配偶",1977,"普通高中","小学",31,0
"北京市","男",1988,"大学本科（正规高等教育）","800000","800000","共产党员",70,"是",1,173,140,"非农业户口",40,"1500000",3,"初婚有配偶",2016,"普通高中","普通高中",28,0
"北京市","男",1969,"大学本科（成人高等教育）","60000","60000","共产党员",110,"否",0,174,156,"非农业户口",40,"160000",0,"再婚有配偶",1990,"初中","初中",21,0
"北京市","女",1990,"中专","60000","24000","群众",29,"否",0,166,155,"非农业户口",6,"拒绝回答",2,"离婚",2014,"普通高中","普通高中",24,0
"北京市","男",1984,"初中","30000","30000","群众",35,"否",0,170,170,"农业户口",40,"30000",1,"初婚有配偶",2005,"小学","没有受过任何教育",21,0
"北京市","女",1987,"大学本科（正规高等教育）","70000","70000","群众",220,"否",0,165,120,"居民户口（以前是农业户口）",50,"1000000",2,"同居",2011,"初中","初中",24,0
"北京市","女",1968,"小学","0","0","群众",6,"是",1,158,125,"农业户口",98,"不知道",1,"初婚有配偶",1989,"初中","没有受过任何教育",21,0
"北京市","男",1951,"初中","4000","4000","共产党员",60,"是",1,171,123,"非农业户口",0,"20000",2,"初婚有配偶",1975,"私塾、扫盲班","私塾、扫盲班",24,0
"北京市","女",1982,"大学专科（成人高等教育）","80000","80000","群众",140,"是",1,160,90,"居民户口（以前是非农业户口）",60,"200000",2,"初婚有配偶",2012,"职业高中","初中",30,0
"北京市","女",1976,"大学本科（正规高等教育）","60000","60000","共产党员",85,"是",1,150,100,"非农业户口",50,"200000",1,"初婚有配偶",1999,"普通高中","初中",23,0
"北京市","女",1982,"大学专科（成人高等教育）","0","0","群众",15,"否",0,165,150,"非农业户口",0,"80000",1,"初婚有配偶",2009,"初中","初中",27,0
"北京市","男",1954,"初中","35000","24000","共产党员",9,"是",1,162,110,"非农业户口",168,"120000",3,"初婚有配偶",1980,"私塾、扫盲班","没有受过任何教育",26,0
"北京市","女",1937,"大学本科（正规高等教育）","100000","0","共产党员",130,"否",0,158,108,"居民户口（以前是非农业户口）",0,"160000",1,"初婚有配偶",1963,"私塾、扫盲班","没有受过任何教育",26,0
"北京市","女",1980,"大学专科（正规高等教育）","150000","100000","群众",56,"否",0,178,160,"非农业户口",40,"300000",4,"初婚有配偶",2013,"初中","初中",33,0
"北京市","女",1967,"大学专科（成人高等教育）","200000","不适用","群众",55,"否",0,165,110,"居民户口（以前是非农业户口）",0,"70000",0,"再婚有配偶",1990,"不知道","大学专科（成人高等教育）",23,0
"北京市","女",1990,"大学专科（正规高等教育）","50000","50000","群众",10,"否",0,160,60,"非农业户口",72,"100000",0,"初婚有配偶",2014,"小学","小学",24,0
"北京市","男",1969,"大学专科（正规高等教育）","100000","100000","群众",48,"是",1,170,120,"居民户口（以前是非农业户口）",50,"拒绝回答",1,"初婚有配偶",2002,"研究生及以上","研究生及以上",33,0
"北京市","男",1944,"大学本科（正规高等教育）","120000","0","共产党员",81,"否",0,180,154,"非农业户口",0,"200000",1,"初婚有配偶",1971,"私塾、扫盲班","没有受过任何教育",27,0
"北京市","女",1958,"中专","25000","25000","共产党员",56,"否",0,155,106,"居民户口（以前是非农业户口）",0,"100000",1,"初婚有配偶",1984,"没有受过任何教育","没有受过任何教育",26,0
"北京市","女",1948,"大学本科（成人高等教育）","35000","35000","群众",62,"否",0,162,90,"非农业户口",0,"36000",0,"离婚",1977,"职业高中","没有受过任何教育",29,0
"北京市","女",1984,"大学本科（正规高等教育）","100000","100000","共产党员",88,"是",1,165,140,"居民户口（以前是非农业户口）",40,"1000000",2,"初婚有配偶",2009,"初中","初中",25,0
"北京市","男",1978,"技校","65000","65000","群众",60,"是",1,175,190,"农业户口",48,"65000",1,"初婚有配偶",2003,"初中","小学",25,0
"北京市","男",1988,"大学本科（正规高等教育）","80000","80000","共产党员",56,"是",1,172,164,"居民户口（以前是非农业户口）",40,"不知道",2,"初婚有配偶",2011,"普通高中","普通高中",23,0
"北京市","男",1973,"大学本科（成人高等教育）","150000","150000","群众",63,"是",2,170,170,"非农业户口",44,"250000",2,"初婚有配偶",2012,"中专","小学",39,0
"北京市","女",1975,"职业高中","24000","24000","群众",90,"否",0,153,110,"居民户口（以前是非农业户口）",40,"54000",1,"初婚有配偶",2001,"技校","技校",26,0
"北京市","女",1973,"初中","拒绝回答","拒绝回答","群众",20,"是",1,160,130,"农业户口",40,"拒绝回答",1,"初婚有配偶",1996,"没有受过任何教育","没有受过任何教育",23,0
"北京市","女",1988,"研究生及以上","10000","0","群众",74,"否",0,165,136,"农业户口",30,"50000",1,"初婚有配偶",2013,"小学","小学",25,0
"北京市","女",1987,"没有受过任何教育","300000","300000","群众",130,"是",2,165,55,"非农业户口",42,"600000",3,"初婚有配偶",2016,"大学专科（正规高等教育）","大学本科（正规高等教育）",29,0
"北京市","男",1949,"大学专科（成人高等教育）","2000","0","共产党员",123,"是",1,169,112,"非农业户口",0,"84000",1,"初婚有配偶",1970,"私塾、扫盲班","没有受过任何教育",21,0
"北京市","男",1987,"大学专科（正规高等教育）","130000","130000","群众",65,"是",1,168,150,"居民户口（以前是农业户口）",40,"300000",1,"初婚有配偶",2012,"小学","大学本科（成人高等教育）",25,0
"北京市","女",1957,"初中","39600","39600","群众",59,"否",0,158,130,"居民户口（以前是农业户口）",0,"200000",1,"初婚有配偶",1981,"不知道","初中",24,0
"北京市","男",1982,"研究生及以上","400000","400000","群众",120,"是",1,170,65,"非农业户口",50,"500000",1,"初婚有配偶",2013,"大学本科（正规高等教育）","大学本科（正规高等教育）",31,0
"北京市","女",1951,"初中","20000","20000","群众",137,"否",0,161,150,"居民户口（以前是农业户口）",0,"140000",2,"初婚有配偶",1974,"不知道","没有受过任何教育",23,0
"北京市","女",1954,"初中","30000","0","群众",36,"否",0,150,100,"居民户口（以前是非农业户口）",0,"60000",0,"初婚有配偶",1979,"小学","没有受过任何教育",25,0
"北京市","男",1962,"普通高中","0","0","群众",90,"是",1,175,156,"居民户口（以前是农业户口）",0,"50000",2,"初婚有配偶",1987,"初中","初中",25,0
"北京市","男",1974,"大学专科（正规高等教育）","130000","130000","群众",75,"是",1,160,130,"非农业户口",44,"200000",1,"初婚有配偶",2004,"大学专科（成人高等教育）","初中",30,0
"北京市","男",1988,"初中","30000","30000","群众",15,"否",0,170,120,"农业户口",30,"200000",1,"初婚有配偶",2010,"初中","没有受过任何教育",22,0
"北京市","女",1976,"初中","20000","20000","群众",60,"是",1,159,103,"非农业户口",56,"100000",2,"再婚有配偶",2009,"没有受过任何教育","私塾、扫盲班",33,0
"北京市","男",1982,"大学本科（正规高等教育）","80000","80000","群众",60,"是",1,170,180,"农业户口",72,"80000",1,"初婚有配偶",2009,"普通高中","普通高中",27,0
"北京市","女",1971,"初中","12000","0","群众",29,"否",0,158,125,"居民户口（以前是非农业户口）",25,"20000",0,"离婚",1994,"初中","初中",23,0
"北京市","男",1962,"大学本科（正规高等教育）","200000","200000","群众",72,"是",3,182,165,"居民户口（以前是非农业户口）",10,"300000",3,"初婚有配偶",1989,"初中","大学专科（成人高等教育）",27,0
"北京市","女",1982,"中专","0","0","群众",37,"否",0,162,200,"非农业户口",0,"5000",1,"离婚",2006,"小学","普通高中",24,0
"北京市","男",1980,"初中","30000","30000","群众",75,"是",1,165,120,"农业户口",0,"50000",1,"初婚有配偶",2004,"小学","初中",24,0
"北京市","女",1953,"初中","30000","30000","共产党员",76,"否",0,150,49,"居民户口（以前是非农业户口）",0,"100000",1,"初婚有配偶",1981,"小学","私塾、扫盲班",28,0
"北京市","男",1969,"初中","25000","25000","群众",170,"是",1,172,179,"农业户口",70,"25000",1,"初婚有配偶",1995,"小学","小学",26,0
"北京市","女",1979,"大学本科（正规高等教育）","72000","72000","共产党员",68,"是",1,156,98,"非农业户口",0,"110000",2,"初婚有配偶",2002,"小学","小学",23,0
"北京市","女",1972,"初中","80000","80000","群众",15,"是",2,167,120,"农业户口",70,"120000",2,"初婚有配偶",2000,"初中","小学",28,0
"北京市","男",1961,"普通高中","30000","10000","群众",30,"否",0,175,200,"居民户口（以前是非农业户口）",0,"100000",0,"初婚有配偶",1988,"其他","其他",27,0
"北京市","女",1985,"大学本科（成人高等教育）","12000","12000","群众",93,"否",0,163,140,"居民户口（以前是农业户口）",48,"80000",1,"初婚有配偶",2009,"普通高中","普通高中",24,0
"北京市","女",1960,"初中","30000","30000","群众",65,"否",0,162,118,"居民户口（以前是农业户口）",56,"不知道",1,"初婚有配偶",1982,"私塾、扫盲班","没有受过任何教育",22,0
"北京市","男",1982,"研究生及以上","200000","200000","共产党员",86,"是",1,176,160,"非农业户口",40,"250000",1,"初婚有配偶",2011,"小学","没有受过任何教育",29,0
"北京市","女",1986,"大学专科（成人高等教育）","45000","45000","共青团员",28,"否",0,165,150,"非农业户口",40,"100000",0,"初婚有配偶",2013,"普通高中","初中",27,0
"北京市","女",1938,"小学","2000","0","群众",100,"否",0,156,140,"农业户口",0,"700000",1,"丧偶",1958,"不知道","没有受过任何教育",20,0
"北京市","女",1972,"小学","0","0","群众",8,"是",1,165,150,"农业户口",0,"15000",1,"初婚有配偶",1997,"没有受过任何教育","没有受过任何教育",25,0
"北京市","女",1937,"没有受过任何教育","38400","不适用","群众",56,"否",0,153,130,"居民户口（以前是非农业户口）",0,"88800",1,"初婚有配偶",1955,"不知道","不知道",18,0
"北京市","女",1984,"大学本科（成人高等教育）","150000","150000","群众",50,"否",0,158,86,"非农业户口",0,"200000",0,"初婚有配偶",2008,"初中","初中",24,0
"北京市","女",1957,"大学专科（正规高等教育）","45000","0","共产党员",95,"是",1,165,165,"非农业户口",0,"900000",1,"初婚有配偶",1982,"没有受过任何教育","初中",25,0
"北京市","男",1976,"大学本科（成人高等教育）","130000","40000","群众",65,"是",3,170,130,"居民户口（以前是非农业户口）",40,"400000",3,"再婚有配偶",2009,"中专","大学本科（正规高等教育）",33,0
"北京市","男",1989,"大学本科（正规高等教育）","200000","200000","共产党员",47,"是",1,173,146,"居民户口（以前是非农业户口）",50,"400000",1,"初婚有配偶",2013,"大学专科（正规高等教育）","普通高中",24,0
"北京市","男",1972,"初中","7000","7000","群众",60,"是",1,160,150,"农业户口",40,"7000",1,"初婚有配偶",1992,"没有受过任何教育","没有受过任何教育",20,0
"北京市","女",1947,"初中","36000","24000","群众",39,"否",0,146,95,"居民户口（以前是农业户口）",0,"46000",1,"初婚有配偶",1968,"小学","没有受过任何教育",21,0
"北京市","男",1949,"没有受过任何教育","0","0","群众",9998,"否",0,172,130,"农业户口",0,"50000",0,"初婚有配偶",1969,"没有受过任何教育","没有受过任何教育",20,0
"北京市","女",1985,"大学专科（正规高等教育）","50000","50000","群众",18,"否",0,160,50,"非农业户口",0,"50000",0,"初婚有配偶",2011,"普通高中","普通高中",26,0
"北京市","女",1933,"没有受过任何教育","18000","0","群众",70,"否",0,165,148,"非农业户口",0,"78000",1,"丧偶",1951,"没有受过任何教育","没有受过任何教育",18,0
"北京市","男",1968,"初中","20000","7200","群众",65,"否",0,168,170,"非农业户口",0,"60000",1,"离婚",2001,"没有受过任何教育","没有受过任何教育",33,0
"北京市","女",1976,"大学本科（正规高等教育）","120000","120000","共产党员",60,"是",1,161,120,"居民户口（以前是非农业户口）",45,"500000",1,"初婚有配偶",2001,"大学本科（正规高等教育）","大学本科（正规高等教育）",25,0
"北京市","女",1986,"初中","0","0","群众",58,"否",0,163,106,"农业户口",0,"70000",0,"初婚有配偶",2012,"小学","小学",26,0
"北京市","女",1959,"初中","0","0","共青团员",11,"否",0,158,120,"农业户口",0,"不知道",4,"初婚有配偶",1980,"小学","没有受过任何教育",21,0
"北京市","女",1933,"没有受过任何教育","36000","0","群众",70,"否",0,160,150,"居民户口（以前是非农业户口）",0,"36000",2,"丧偶",1949,"小学","没有受过任何教育",16,0
"北京市","女",1979,"普通高中","200000","200000","群众",70,"否",0,158,150,"非农业户口",70,"200000",0,"初婚有配偶",2014,"普通高中","普通高中",35,0
"北京市","男",1972,"初中","100000","100000","群众",200,"否",0,162,130,"非农业户口",48,"120000",1,"初婚有配偶",1993,"没有受过任何教育","没有受过任何教育",21,0
"北京市","女",1985,"大学专科（正规高等教育）","0","0","群众",114,"否",0,170,104,"非农业户口",0,"不知道",0,"初婚有配偶",2010,"普通高中","小学",25,0
"北京市","男",1956,"普通高中","不知道","不知道","群众",9999,"拒绝回答",999,171,998,"非农业户口",0,"拒绝回答",1,"初婚有配偶",1982,"小学","小学",26,0
"北京市","女",1971,"初中","0","0","群众",13,"是",1,157,110,"农业户口",0,"120000",1,"初婚有配偶",1997,"初中","初中",26,0
"北京市","女",1984,"大学专科（正规高等教育）","75000","75000","群众",200,"否",0,165,110,"农业户口",44,"150000",1,"初婚有配偶",2011,"初中","初中",27,0
"北京市","女",1989,"大学本科（成人高等教育）","54000","54000","群众",97,"否",0,155,119,"居民户口（以前是农业户口）",48,"200000",2,"初婚有配偶",2016,"初中","普通高中",27,0
"北京市","女",1955,"普通高中","40000","0","共产党员",55,"否",0,160,100,"居民户口（以前是非农业户口）",0,"60000",1,"初婚有配偶",1980,"小学","没有受过任何教育",25,0
"北京市","男",1991,"大学本科（正规高等教育）","100000","100000","共青团员",12,"是",1,175,130,"非农业户口",40,"不知道",2,"初婚有配偶",2017,"中专","普通高中",26,0
"北京市","男",1985,"大学本科（正规高等教育）","拒绝回答","拒绝回答","共产党员",60,"是",1,180,145,"居民户口（以前是农业户口）",40,"拒绝回答",1,"初婚有配偶",2012,"普通高中","普通高中",27,0
"北京市","女",1943,"没有受过任何教育","42000","42000","群众",50,"否",0,158,135,"非农业户口",0,"66000",1,"初婚有配偶",1961,"没有受过任何教育","没有受过任何教育",18,0
"北京市","男",1980,"研究生及以上","120000","120000","共产党员",9998,"否",0,190,160,"非农业户口",40,"240000",0,"初婚有配偶",2010,"大学专科（成人高等教育）","大学专科（成人高等教育）",30,0
"北京市","女",1948,"初中","2800","0","群众",10,"否",0,148,100,"居民户口（以前是农业户口）",0,"43000",0,"初婚有配偶",1970,"私塾、扫盲班","没有受过任何教育",22,0
"北京市","男",1954,"普通高中","3300","0","群众",22,"否",0,176,180,"居民户口（以前是非农业户口）",0,"100000",0,"初婚有配偶",1980,"私塾、扫盲班","没有受过任何教育",26,0
"北京市","男",1971,"大学专科（成人高等教育）","60000","60000","群众",13,"否",0,173,128,"非农业户口",40,"100000",0,"初婚有配偶",2000,"初中","小学",29,0
"北京市","女",1963,"初中","20000","20000","群众",10,"是",1,150,105,"农业户口",0,"30000",1,"初婚有配偶",1985,"小学","没有受过任何教育",22,0
"北京市","男",1985,"大学本科（正规高等教育）","200000","180000","群众",54,"否",0,188,240,"居民户口（以前是非农业户口）",50,"250000",2,"初婚有配偶",2015,"普通高中","大学专科（成人高等教育）",30,0
"北京市","女",1988,"初中","0","0","群众",130,"是",1,153,90,"农业户口",0,"150000",1,"初婚有配偶",2012,"普通高中","普通高中",24,0
"北京市","男",1978,"研究生及以上","120000","120000","共产党员",60,"是",1,182,176,"非农业户口",40,"150000",1,"初婚有配偶",2005,"普通高中","大学本科（正规高等教育）",27,0
"北京市","男",1970,"大学专科（正规高等教育）","40000","40000","群众",60,"是",1,170,155,"居民户口（以前是非农业户口）",56,"70000",1,"初婚有配偶",1993,"小学","小学",23,0
"北京市","女",1940,"大学专科（正规高等教育）","480000","0","群众",77,"是",1,150,85,"非农业户口",0,"100000",1,"初婚有配偶",1962,"大学专科（正规高等教育）","普通高中",22,0
"北京市","女",1968,"大学专科（成人高等教育）","40000","40000","共产党员",55,"是",1,154,110,"非农业户口",40,"70000",1,"初婚有配偶",1994,"初中","初中",26,0
"北京市","男",1946,"中专","56000","0","共产党员",60,"否",0,167,146,"非农业户口",0,"100000",1,"初婚有配偶",1974,"不知道","不知道",28,0
"北京市","男",1956,"大学专科（成人高等教育）","90000","90000","共产党员",50,"否",0,163,110,"居民户口（以前是非农业户口）",0,"150000",2,"初婚有配偶",1989,"大学本科（成人高等教育）","没有受过任何教育",33,0
"北京市","女",1950,"初中","30000","0","群众",30,"是",1,167,134,"居民户口（以前是非农业户口）",0,"60000",1,"初婚有配偶",1978,"没有受过任何教育","没有受过任何教育",28,0
"北京市","女",1978,"普通高中","20000","20000","群众",60,"否",0,164,180,"农业户口",0,"60000",0,"初婚有配偶",2001,"小学","小学",23,0
"北京市","男",1987,"大学本科（正规高等教育）","300000","300000","群众",48,"否",0,173,140,"非农业户口",70,"300000",3,"初婚有配偶",2017,"初中","初中",30,0
"北京市","男",1954,"初中","40000","0","群众",43,"否",0,170,180,"非农业户口",0,"90000",1,"初婚有配偶",1982,"私塾、扫盲班","没有受过任何教育",28,0
"北京市","女",1989,"大学本科（正规高等教育）","60000","60000","群众",50,"否",0,155,110,"农业户口",40,"120000",0,"初婚有配偶",2017,"普通高中","小学",28,0
"北京市","男",1985,"大学专科（正规高等教育）","200000","200000","群众",53,"否",0,178,185,"居民户口（以前是非农业户口）",90,"300000",2,"离婚",2011,"普通高中","初中",26,0
"北京市","女",1969,"普通高中","50000","50000","群众",40,"否",0,163,120,"居民户口（以前是非农业户口）",56,"100000",1,"初婚有配偶",1993,"小学","小学",24,0
"北京市","男",1951,"中专","42000","0","群众",56,"否",0,167,126,"非农业户口",0,"84000",1,"初婚有配偶",1978,"私塾、扫盲班","没有受过任何教育",27,0
"北京市","女",1976,"中专","100000","100000","群众",45,"是",1,170,116,"非农业户口",8,"145000",1,"初婚有配偶",1997,"大学本科（正规高等教育）","初中",21,0
"北京市","女",1963,"普通高中","不知道","不知道","群众",80,"否",0,167,140,"居民户口（以前是非农业户口）",0,"不知道",1,"初婚有配偶",1990,"不知道","小学",27,0
"北京市","女",1991,"大学专科（正规高等教育）","80000","80000","群众",40,"否",0,160,100,"非农业户口",50,"300000",1,"初婚有配偶",2014,"初中","不知道",23,0
"北京市","男",1981,"大学本科（正规高等教育）","110000","110000","共产党员",60,"否",0,175,160,"军籍",45,"150000",99,"初婚有配偶",2008,"初中","小学",27,0
"北京市","男",1981,"普通高中","100000","60000","群众",110,"是",1,175,160,"农业户口",30,"100000",1,"初婚有配偶",2005,"小学","初中",24,0
"北京市","男",1960,"普通高中","40000","36000","群众",50,"否",0,172,170,"居民户口（以前是非农业户口）",60,"70000",1,"初婚有配偶",1987,"小学","小学",27,0
"北京市","男",1952,"大学专科（正规高等教育）","70000","70000","群众",12,"是",1,168,130,"非农业户口",5,"100000",1,"初婚有配偶",1977,"没有受过任何教育","没有受过任何教育",25,0
"北京市","男",1962,"初中","30000","30000","群众",54,"否",0,172,160,"居民户口（以前是非农业户口）",40,"70000",1,"初婚有配偶",1987,"不知道","没有受过任何教育",25,0
"北京市","女",1978,"大学本科（正规高等教育）","80000","80000","共产党员",100,"否",0,166,156,"非农业户口",0,"250000",1,"初婚有配偶",2006,"大学专科（正规高等教育）","大学专科（正规高等教育）",28,0
"北京市","女",1987,"大学本科（正规高等教育）","0","40000","群众",60,"否",0,165,120,"非农业户口",40,"0",0,"初婚有配偶",2015,"普通高中","普通高中",28,0
"北京市","女",1935,"没有受过任何教育","0","0","群众",23,"否",0,158,90,"居民户口（以前是非农业户口）",0,"30000",1,"丧偶",1957,"没有受过任何教育","没有受过任何教育",22,0
"北京市","男",1987,"研究生及以上","150000","80000","群众",60,"否",0,190,172,"非农业户口",40,"400000",0,"初婚有配偶",2015,"大学本科（成人高等教育）","大学本科（成人高等教育）",28,0
"北京市","男",1934,"大学专科（正规高等教育）","84000","21600","共产党员",30,"是",1,171,165,"非农业户口",12,"100000",1,"丧偶",1952,"私塾、扫盲班","没有受过任何教育",18,0
"北京市","男",1959,"普通高中","60000","60000","群众",90,"是",1,180,200,"非农业户口",40,"72000",2,"再婚有配偶",1975,"私塾、扫盲班","没有受过任何教育",16,0
"北京市","女",1989,"大学本科（成人高等教育）","60000","60000","群众",52,"否",0,160,140,"农业户口",50,"600000",0,"初婚有配偶",2013,"初中","初中",24,0
"北京市","男",1988,"大学本科（正规高等教育）","80000","100000","群众",55,"是",1,170,120,"非农业户口",40,"100000",1,"初婚有配偶",2016,"小学","小学",28,0
"北京市","男",1976,"普通高中","50000","50000","共青团员",108,"是",1,173,170,"农业户口",40,"80000",1,"初婚有配偶",1999,"初中","没有受过任何教育",23,0
"北京市","女",1983,"大学本科（正规高等教育）","120000","120000","共产党员",97,"否",0,160,114,"居民户口（以前是非农业户口）",0,"240000",1,"初婚有配偶",2008,"小学","初中",25,0
"北京市","女",1983,"大学专科（正规高等教育）","0","0","群众",60,"否",0,160,150,"农业户口",0,"80000",1,"初婚有配偶",2008,"小学","初中",25,0
